,Name,Effect,Type,
sp-1,「天選之人」,如我方場上有角色卡或領導卡名字為特朗普，對方場上的SP卡和HELP效果變為無效。,sp,
h-1,Deep State,對方場上的SP卡或HELP效果變為無效。,help,
h-2,Make America Great Again,對方一張角色卡，原能力值 變成 0,help,
h-3,doge 全員集合,我方場上擁有Doge特徵的全部角色卡，原能力值 +40,help,
h-4,「解放日」,對手角色卡登場效果無效,help,
sp-2,減息周期,我方場上全部角色卡，原能力值 +30,sp,
sp-3,加息周期,對方場上全部角色卡，原能力值 -30,sp,
h-5,失智老人,可在上，左，右區域打出任可屬於的角色卡。而且全部召喚出來的角色能力值再 +20. 這張卡的效果不能被無效文化 。,help,
h-6,You have no card,如對方擁有4 張手牌以上，隨機選出兩張廢棄,help,-
sp-4,關稅掃射,場上全部擁有自由或經濟特徵角色卡，原能力值 -50,SP,
h-7,拜登退選,對方不能打出HELP 卡,help,
sp-5,破頂,我方場上擁有自由或經濟特徵的全部角色卡，原能力值 +30,SP,
h-8,破低,對方場上擁有自由或經濟特徵的全部角色卡，原能力值 -30,HELP,
h-9,bitcoin 真香,我方抽2張卡片,HELP,
h-10,加洲大火,對方的HELP卡無效,HELP,-
h-11,海湖莊園,此卡登場時，可以從自己的卡組上面查看5張卡片，選出一張角色卡加到手牌,HELP,
h-12,美債危機,對方的SP卡無效，在SP回合對方亦要打出 SP卡,HELP,
h-13,TikTok下架 ,我方場上擁有平民特徵的全部角色卡，原能力值 +30,HELP,
sp-6,DeepSeek風暴,在全場總能力結算後，對方的總能力值-80,SP,
h-14,聯邦大法官,選出對方場上一張擁有特朗普家族特徵的角色卡，原能力值  -60,HELP,
h-15,天才法案,我方場上擁有經濟特徵的全部角色卡，原能力值 +50,HELP,
sp-7,No King Day (無國王日),對方場上擁有特朗普家族特徵的角色卡，原能力值  -30,SP,
sp-8,"反特斯拉示威
(Tesla Takedown)","對方場上擁有Doge特徵的全部角色卡,原能力值 -40
對方領袖卡是馬斯克的時候, 特殊組合的加乘變成0",SP,
sp-9,國會山莊騷亂,"如對方場上有角色卡或領導卡名字為特朗普, 特殊組合的加乘變成0",SP,
sp-10,民主黨集結,我方場上擁有左翼特徵的全部角色卡，原能力值 +30,SP,
