CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Gundam NT-1,GD03-001,5,4,Blue,UNIT,"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】Choose 1 rested enemy Unit. Deal 1 damage to it. When this effect destroys an enemy Unit, draw 1.",Space Earth,(Earth Federation),[Christina Mackenzie] / [Amuro Ray],4/4,Mobile Suit Gundam 0080: War in the Pocket
The-O,GD03-002,7,5,Blue,UNIT,"<Repair 3> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Pair】When one of your other Units with <Repair> attacks, choose 1 enemy Unit whose Lv. is equal to or lower than that Unit. Rest it.",Space Earth,(Titans) (Jupitris),[Paptimus Scirocco],5/5,Mobile Suit Z Gundam
Messala,GD03-003,6,4,Blue,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) <Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Titans) (Jupitris),(Jupitris) Trait,5/4,Mobile Suit Z Gundam
Hambrabi,GD03-004,5,4,Blue,UNIT,"【Attack】If you have 2 or more other (Titans) Units in play, choose 1 enemy Unit with 5 or less HP. Rest it.",Space Earth,(Titans),[Yazan Gable],5/3,Mobile Suit Z Gundam
Kshatriya Besserung,GD03-005,6,5,Blue,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【Deploy】Draw 1.",Space Earth,(Neo Zeon),[Marida Cruz],4/4,Mobile Suit Gundam Unicorn
Penelope (Middle Form),GD03-006,6,5,Blue,UNIT,【Deploy】Choose 1 to 2 enemy Units with 3 or less HP. Rest them.,Space Earth,(Earth Federation),[Lane Aim],4/4,Mobile Suit Gundam: Hathaway's Flash
Gundam NT-1 Full Armor,GD03-007,3,2,Blue,UNIT,【Destroyed】Choose 1 enemy Unit with 3 or less HP. Rest it.,Space Earth,(Earth Federation),[Christina Mackenzie],2/3,Mobile Suit Gundam 0080: War in the Pocket
Bolinoak Sammahn,GD03-008,4,2,Blue,UNIT,"【During Pair】This Unit gains <Repair 2>. (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Titans) (Jupitris),(Jupitris) Trait,3/3,Mobile Suit Z Gundam
Palace Athene,GD03-009,5,3,Blue,UNIT,"【Deploy】You may choose 2 (Titans) cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit that is Lv.4 or lower. Rest it.",Space Earth,(Titans) (Jupitris),[Reccoa Londe],5/3,Mobile Suit Z Gundam
Full Armor Unicorn Gundam (Destroy Mode),GD03-010,8,6,Blue,UNIT,"<Repair 3> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Civilian),[Banagher Links],6/6,Mobile Suit Gundam Unicorn
