CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Impulse Gundam,ST09-001,3,2,Purple,UNIT,"【Activate･Main】②, return this Unit to the bottom of its owner's deck：Choose 1 Unit card with ""Impulse Gundam"" in its card name that is Lv.4 or higher from your trash. Deploy it.",Space Earth,(ZAFT) (Minerva Squad),[Shinn Asuka],3/3,Mobile Suit Gundam SEED DESTINY
Force Impulse Gundam,ST09-002,5,4,Purple,UNIT,"【Destroyed】Choose 1 (Minerva Squad) Unit card without ""Force Impulse Gundam"" in its card name from your trash. Add it to your hand.",Space Earth,(ZAFT) (Minerva Squad),[Shinn Asuka],5/4,Mobile Suit Gundam SEED DESTINY
Saviour Gundam,ST09-003,6,5,Red,UNIT,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【When Linked】If there are 5 or more purple cards in your trash, deal 2 damage to all Units with 5 or less AP.",Space Earth,(ZAFT) (Minerva Squad),[Athrun Zala],5/4,Mobile Suit Gundam SEED DESTINY
Freedom Gundam,ST09-004,6,5,White,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) While a friendly Base in play, this Unit gains <Suppression>. (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.)",Space Earth,(Orb),[Kira Yamato],4/5,Mobile Suit Gundam SEED DESTINY
Zaku Warrior,ST09-005,2,1,Purple,UNIT,-,Space Earth,(ZAFT) (Minerva Squad),-,2/2,Mobile Suit Gundam SEED DESTINY
Sword Impulse Gundam,ST09-006,4,2,Purple,UNIT,"【Deploy】If you deploy this Unit from your trash, choose 1 enemy Unit that is Lv.3 or lower. Destroy it.",Space Earth,(ZAFT) (Minerva Squad),(Coordinator) Trait / (Minerva Squad) Trait,4/2,Mobile Suit Gundam SEED DESTINY
Blast Impulse Gundam,ST09-007,5,3,Purple,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(ZAFT) (Minerva Squad),[Shinn Asuka],5/3,Mobile Suit Gundam SEED DESTINY
Shinn Asuka,ST09-008,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【Attack】If this is a (Minerva Squad) Unit, choose 1 of your Resources. Set it as active.",-,(ZAFT) (Minerva Squad) (Coordinator),-,+3/+0,Mobile Suit Gundam SEED DESTINY
Giant Killing,ST09-009,4,3,Purple,COMMAND,【Main】/【Action】Choose 1 active enemy Unit with 4 or less AP. Destroy it.,-,-,-,-/-,Mobile Suit Gundam SEED DESTINY
Minerva,ST09-010,2,1,Purple,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, look at the top 2 cards of your deck and return 1 to the top. Place the remaining card into your trash.",Space Earth,(ZAFT) (Minerva Squad) (Warship),-,-/5,Mobile Suit Gundam SEED DESTINY
