CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Gundam,GD01-001,4,3,Blue,UNIT,"All your (White Base Team) Units gain <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】If you have 2 or more other Units in play, draw 1.",Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],3/3,Mobile Suit Gundam
Unicorn Gundam (Destroy Mode),GD01-002,7,6,Blue,UNIT,"When playing this card from your hand, you may destroy 1 of your Link Units with ""Unicorn Mode"" in its card name that is Lv.5. If you do, play this card as if it has 0 Lv. and cost. 【Attack】Choose 1 enemy Unit. Rest it.",Space Earth,(Civilian),[Banagher Links],5/4,Mobile Suit Gundam Unicorn
Unicorn Gundam 02 Banshee (Destroy Mode),GD01-003,6,4,Blue,UNIT,"【During Link】【Attack】Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as active. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",Space Earth,(Earth Federation),[Marida Cruz],5/4,Mobile Suit Gundam Unicorn
Guncannon,GD01-004,3,2,Blue,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】Choose 1 enemy Unit with 2 or less HP. Rest it.",Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,2/3,Mobile Suit Gundam
Unicorn Gundam (Unicorn Mode),GD01-005,5,4,Blue,UNIT,"【During Link】【Destroyed】Return this Unit's paired Pilot to its owner's hand. Then, discard 1.",Space Earth,(Civilian),[Banagher Links],4/3,Mobile Suit Gundam Unicorn
Delta Plus,GD01-006,4,3,Blue,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Link】This Unit gets HP+1.",Space Earth,(Earth Federation),(Earth Federation) Trait,4/3,Mobile Suit Gundam Unicorn
Noin's Aries,GD01-007,3,3,Blue,UNIT,"【Destroyed】If you have another (OZ) Unit in play, draw 1.",Earth,(OZ),[Lucrezia Noin],2/3,Mobile Suit Gundam Wing
Guntank,GD01-008,2,1,Blue,UNIT,【Deploy】Choose 1 rested enemy Unit. Deal 1 damage to it.,Space Earth,(Earth Federation) (White Base Team),-,1/2,Mobile Suit Gundam
G-Fighter,GD01-009,3,2,Blue,UNIT,【Deploy】Choose 1 of your (White Base Team) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.),Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,3/2,Mobile Suit Gundam
Unicorn Gundam 02 Banshee (Unicorn Mode),GD01-010,4,3,Blue,UNIT,【When Paired】Choose 1 enemy Unit with 3 or less HP. Rest it.,Space Earth,(Earth Federation),(Cyber-Newtype) Trait,4/3,Mobile Suit Gundam Unicorn
