CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Ξ Gundam,ST08-001,9,8,Red,UNIT,"While you have no Units that are Lv.6 or higher in play, this card in your hand gets Lv. -1 and cost -1 for each enemy Unit in play. 【When Paired】Choose 1 enemy Unit with the highest Lv. Deal 3 damage to it.",Space Earth,(Mafty),[Hathaway Noa],5/5,Mobile Suit Gundam: Hathaway's Flash
Ξ Gundam,ST08-002,5,4,Red,UNIT,【Deploy】Choose 1 enemy Unit. Deal 1 damage to it.,Space Earth,(Mafty),[Hathaway Noa],4/4,Mobile Suit Gundam: Hathaway's Flash
Messer (Type-F Naked) (Commander Type),ST08-003,4,2,Red,UNIT,-,Space Earth,(Mafty),(Mafty) Trait,4/3,Mobile Suit Gundam: Hathaway's Flash
Messer Type-F01,ST08-004,2,2,Red,UNIT,"【Attack】If this Unit is attacking an enemy Unit, choose 1 enemy Unit. Deal 1 damage to it.",Space Earth,(Mafty),(Mafty) Trait,2/1,Mobile Suit Gundam: Hathaway's Flash
Messer Type-F02 Minelayer,ST08-005,3,2,Red,UNIT,-,Space Earth,(Mafty),-,4/3,Mobile Suit Gundam: Hathaway's Flash
Penelope,ST08-006,7,6,Blue,UNIT,"【During Pair】【Attack】【Once per Turn】If this Unit is attacking the enemy player, reveal 1 (Earth Federation) Unit card from your hand. Return it to the bottom of your deck. If you do, draw 2.",Space Earth,(Earth Federation),[Lane Aim],5/5,Mobile Suit Gundam: Hathaway's Flash
Penelope,ST08-007,5,3,Blue,UNIT,-,Space Earth,(Earth Federation),[Lane Aim],5/4,Mobile Suit Gundam: Hathaway's Flash
Gustav Karl Type-00,ST08-008,3,3,Blue,UNIT,"While 3 or more enemy Units are in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Earth Federation),-,3/4,Mobile Suit Gundam: Hathaway's Flash
Jegan Ground Type-A (Man Hunter),ST08-009,1,1,Blue,UNIT,【Deploy】Choose 1 rested enemy Unit that is Lv.2 or lower. It won' t be set as active during the start phase of your opponent' s next turn.,Earth,(Earth Federation),-,-/1,Mobile Suit Gundam: Hathaway's Flash
Hathaway Noa,ST08-010,4,1,Red,PILOT,"【Burst】Add this card to your hand. 【When Paired】If this is a (Mafty) Unit, choose 1 of your (Mafty) Units. During this turn, it may choose a damaged active enemy Unit as its attack target.",-,(Mafty) (Newtype),-,+2/+1,Mobile Suit Gundam: Hathaway's Flash
Lane Aim,ST08-011,4,1,Blue,PILOT,"【Burst】Add this card to your hand. When you draw with an effect, if this is a blue Unit, it gains <High-Maneuver> during this turn. (This Unit can' t be blocked.)",-,(Earth Federation),-,+2/+1,Mobile Suit Gundam: Hathaway's Flash
Words for Hathaway,ST08-012,3,1,Red,COMMAND,"【Main】Choose 1 friendly Link Unit. It gains <Breach 1> during this turn. (When this Unit' s attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent' s shield area.) 【Pilot】[Gawman Nobile]",-,(Mafty),-,+1/+0,Mobile Suit Gundam: Hathaway's Flash
Lady Luck,ST08-013,5,1,Red,COMMAND,"【Main】/【Action】Choose 1 enemy Unit. Deal 1 damage to it. If a friendly (Mafty) Link Unit is in play, deal 2 damage instead.",-,-,-,-/-,Mobile Suit Gundam: Hathaway's Flash
Valiant,ST08-014,2,1,Red,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 of your Units. It gets AP+2 during this turn.",Earth,(Mafty) (Warship),-,-/5,Mobile Suit Gundam: Hathaway's Flash
Davao,ST08-015,3,1,Blue,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Choose 1 of your Units. It recovers 2 HP.,Earth,(Earth Federation) (Stronghold),-,-/5,Mobile Suit Gundam: Hathaway's Flash
